Trade,Opened,Closed,DIT,Description,Symbol,Planned_Capital,Maximum_Margin,Current_Margin,Profit_Loss,Yield_on_Max_Margin,Yield_on_Planned_Capital,Short_Strike_Delta,Position_Delta,Updated_Eastern,View_Details
74,2025-01-17,,5,TRADE 074- 31Jan 2025 SPX A14,SPX,2436.0,2436.0,2436.0,0.0,0.0,17 Jan 2025 at 12:27 PM,,,,
73,2025-01-10,2025-01-14,4,TRADE 073- 24Jan 2025 SPX A14,SPX,2446.0,2446.0,,117.84,0.0482,0.0482,,,2025-01-14 11:52:00,
72,2025-01-03,2025-01-08,5,TRADE 072- 17Jan 2025 SPX A14,SPX,3502.0,3502.0,,166.76,0.0476,0.0476,,,2025-01-09 12:43:00,
71,2024-12-27,2024-12-30,3,*TRADE 071- 20Dec 2024 SPX A14-PT,SPX,2376.0,2376.0,,107.84,0.0454,0.0454,,,2024-12-30 13:51:00,
70,2024-12-13,2024-12-18,5,TRADE 070- 20Dec 2024 SPX A14,SPX,2742.0,2742.0,,114.8,0.0419,0.0419,,,2024-12-18 11:39:00,
69,2024-12-06,2024-12-11,5,TRADE 069- 20Dec 2024 SPX A14,SPX,2969.0,2969.0,,216.76,0.073,0.073,,,2024-12-11 10:48:00,
68,2024-11-29,2024-12-06,7,TRADE 068- 13Dec 2024 SPX A14,SPX,3882.0,3882.0,,133.72,0.0344,0.0344,,,2024-12-06 16:32:00,
67,2024-11-22,2024-11-22,0,TRADE 067- 6Dec 2024 SPX A14,SPX,2356.0,2356.0,,107.84,0.0458,0.0458,,,2024-11-22 17:33:00,
66,2024-11-15,2024-11-22,7,TRADE 066- 29Nov 2024 SPX A14,SPX,3184.0,3184.0,,151.76,0.0477,0.0477,,,2024-11-23 14:59:00,
65,2024-11-08,2024-11-13,5,TRADE 065- 22Nov 2024 SPX A14,SPX,2496.0,2496.0,,127.84,0.0512,0.0512,,,2024-11-13 14:11:00,
64,2024-10-25,2024-11-01,7,TRADE 064 - 8Nov 2024 SPX A14,SPX,1733.0,1733.0,,-6.28,-0.0036,-0.0036,,,2024-11-01 10:57:00,
63,2024-10-18,2024-10-25,7,TRADE 063 - 1Nov 2024 SPX A14,SPX,2752.0,2752.0,,144.8,0.0526,0.0526,,,2024-10-25 10:47:00,
62,2024-10-11,2024-10-17,6,TRADE 062 - 25Oct 2024 SPX A14,SPX,3952.0,3952.0,,221.76,0.0561,0.0561,,,2024-10-17 16:08:00,
61,2024-10-04,2024-10-08,4,TRADE 061 - 18Oct 2024 SPX A14,SPX,3472.0,3472.0,,184.8,0.0532,0.0532,,,2024-10-08 11:07:00,
60,2024-09-27,2024-10-04,7,TRADE 060 - 11Oct 2024 SPX A14,SPX,5014.0,5014.0,,191.76,0.0382,0.0382,,,2024-10-04 19:49:00,
59,2024-09-20,2024-09-25,5,TRADE 059 - 4Oct 2024 SPX A14,SPX,3602.0,3602.0,,134.8,0.0374,0.0374,,,2024-09-25 16:38:00,
58,2024-09-13,2024-09-18,5,TRADE 058 - 27Sep 2024 SPX A14,SPX,2376.0,2376.0,,57.84,0.0243,0.0243,,,2024-09-18 16:43:00,
57,2024-09-06,2024-09-11,5,TRADE 057 - 20Sep 2024 SPX A14,SPX,2667.0,2667.0,,59.8,0.0224,0.0224,,,2024-09-11 16:30:00,
56,2024-08-30,2024-09-09,10,TRADE 056 - 13Sep 2024 SPX A14,SPX,5756.0,5756.0,,-667.36,-0.1159,-0.1159,,,2024-09-09 11:39:00,
55,2024-08-23,2024-08-26,3,TRADE 055 - 6Sep 2024 SPX A14,SPX,2556.0,2556.0,,117.84,0.0461,0.0461,,,2024-08-26 16:03:00,
54,2024-08-16,2024-08-22,6,TRADE 054 - 30Aug 2024 SPX A14,SPX,3512.0,3512.0,,159.8,0.0455,0.0455,,,2024-08-22 15:06:00,
53,2024-08-09,2024-08-12,3,TRADE 053 - 23Aug 2024 SPX A14,SPX,2416.0,2416.0,,127.84,0.0529,0.0529,,,2024-08-12 11:12:00,
52,2024-08-02,2024-08-05,3,TRADE 052 - 16Aug 2024 SPX A14,SPX,2346.0,2346.0,,167.84,0.0715,0.0715,,,2024-08-05 12:41:00,
51,2024-07-26,2024-07-31,5,TRADE 051 - 9Aug 2024 SPX A14,SPX,2346.0,2346.0,,117.84,0.0502,0.0502,,,2024-07-31 10:44:00,
50,2024-07-19,2024-07-23,4,TRADE 050 - 2Aug 2024 SPX A14,SPX,3267.0,3267.0,,144.8,0.0443,0.0443,,,2024-07-23 12:42:00,
49,2024-07-12,2024-07-23,11,TRADE 049 - 26Jul 2024 SPX A14,SPX,4703.0,4703.0,,-90.4,-0.0192,-0.0192,,,2024-07-23 12:41:00,
48,2024-07-05,2024-07-16,11,TRADE 048 - 19Jul 2024 SPX A14,SPX,5357.0,5357.0,,58.72,0.011,0.011,,,2024-07-16 13:45:00,
47,2024-06-28,2024-07-01,3,TRADE 047 - 12Jul 2024 SPX A14,SPX,2667.0,2667.0,,116.76,0.0438,0.0438,,,2024-07-01 15:27:00,
46,2024-06-21,2024-06-24,3,TRADE 046 - 5Jul 2024 SPX A14,SPX,2616.0,2616.0,,137.84,0.0527,0.0527,,,2024-06-24 15:25:00,
45,2024-06-14,2024-06-20,6,TRADE 045 - 28Jun 2024 SPX A14,SPX,4954.0,4954.0,,226.76,0.0458,0.0458,,,2024-06-20 15:36:00,
44,2024-06-07,2024-06-10,3,TRADE 044 - 21Jun 2024 SPX A14,SPX,2476.0,2476.0,,107.84,0.0436,0.0436,,,2024-06-10 12:49:00,
43,2024-05-31,2024-06-07,7,TRADE 043 - 14Jun 2024 SPX A14,SPX,3309.0,3309.0,,141.76,0.0428,0.0428,,,2024-06-07 17:06:00,
42,2024-05-24,2024-05-31,7,TRADE 042 - 7Jun 2024 SPX A14,SPX,6132.0,6132.0,,155.68,0.0254,0.0254,,,2024-06-01 00:16:00,
41,2024-05-17,2024-05-23,6,TRADE 041 - 31May 2024 SPX A14,SPX,4567.0,4567.0,,194.8,0.0427,0.0427,,,2024-05-23 11:01:00,
40,2024-05-10,2024-05-22,12,TRADE 040 - 24May 2024 SPX A14,SPX,3054.0,3054.0,,-123.24,-0.0404,-0.0404,,,2024-05-22 19:35:00,
39,2024-05-03,2024-05-14,11,TRADE 039 - 17 May 2024 SPX A14,SPX,4657.0,4657.0,,-121.28,-0.026,-0.026,,,2024-05-15 02:05:00,
38,2024-04-26,2024-04-29,3,TRADE 038 - 10 May 2024 SPX A14,SPX,3656.0,3656.0,,157.84,0.0432,0.0432,,,2024-04-29 19:41:00,
37,2024-04-19,2024-04-22,3,TRADE 037 - 3 May 2024 SPX A14,SPX,2586.0,2586.0,,127.84,0.0494,0.0494,,,2024-04-22 13:26:00,
36,2024-04-12,2024-04-15,3,TRADE 036 - 19 Apr 2024 SPX A14,SPX,2446.0,2446.0,,267.84,0.1095,0.1095,,,2024-04-15 10:43:00,
35,2024-04-05,2024-04-09,4,TRADE 035 - 19 Apr 2024 SPX A14,SPX,2578.0,2578.0,,89.8,0.0348,0.0348,,,2024-04-09 23:44:00,
34,2024-04-02,2024-04-08,6,TRADE 034 - 12 Apr 2024 SPX A14,SPX,4453.0,4453.0,,249.8,0.0561,0.0561,,,2024-04-08 11:00:00,
33,2024-03-22,2024-03-25,3,TRADE 033 - 5 Apr 2024 SPX A14,SPX,3636.0,3636.0,,177.84,0.0489,0.0489,,,2024-03-25 16:35:00,
32,2024-03-15,2024-03-27,12,TRADE 032 - 28 Mar 2024 SPX A14,SPX,4169.0,4169.0,,-178.44,-0.0428,-0.0428,,,2024-03-27 12:05:00,
31,2024-03-08,2024-03-12,4,TRADE 031 - 22 Mar 2024 SPX A14,SPX,2930.0,2930.0,,126.76,0.0433,0.0433,,,2024-03-12 15:52:00,
30,2024-03-01,2024-03-12,11,TRADE 030 - 15 Mar 2024 SPX A14,SPX,3894.0,3894.0,,238.72,0.0613,0.0613,,,2024-03-12 12:41:00,
29,2024-02-23,2024-02-27,4,TRADE 029 - 8 Mar 2024 SPX A14,SPX,3526.0,3526.0,,207.84,0.0589,0.0589,,,2024-03-06 15:05:00,
28,2024-02-16,2024-02-26,10,TRADE 028 - 1 Mar 2024 SPX A14,SPX,5395.0,5395.0,,-251.68,-0.0467,-0.0467,,,2024-03-06 15:05:00,
27,2024-02-09,2024-02-12,3,TRADE 027 - 23 Feb 2024 SPX A14,SPX,2838.0,2838.0,,124.8,0.044,0.044,,,2024-02-16 11:52:00,
26,2024-02-02,2024-02-06,4,TRADE 026 - 16 Feb 2024 SPX A14,SPX,4633.0,4633.0,,219.8,0.0474,0.0474,,,2024-02-16 11:50:00,
25,2024-01-26,2024-01-30,4,TRADE 025 - 9 Feb 2024 SPX A14,SPX,4897.0,4897.0,,144.8,0.0296,0.0296,,,2024-02-16 11:46:00,
24,2024-01-19,2024-01-30,11,TRADE 024 - 2 Feb 2024 SPX A14,SPX,3802.0,3802.0,,-204.32,-0.0537,-0.0537,,,2024-02-16 11:47:00,
23,2024-01-12,2024-01-18,6,TRADE 023 - 2 Feb 2024 SPX A14,SPX,4822.0,4822.0,,189.8,0.0394,0.0394,,,2024-02-16 11:42:00,
22,2024-01-06,2024-01-18,12,TRADE 022 - 19 Jan 2024 SPX A14,SPX,4675.0,4675.0,,253.52,0.0542,0.0542,,,2024-02-16 11:42:00,
21,2024-01-06,2024-01-11,5,TRADE 021 - 12 Jan 2024 SPX A14,SPX,5549.0,5549.0,,-96.92,-0.0175,-0.0175,,,2024-01-14 19:33:00,
20,2023-12-22,2023-12-22,0,TRADE 020 - 29 Dec 2023 SPX A14,SPX,2612.0,2612.0,,87.84,0.0336,0.0336,,,2024-01-06 18:14:00,
19,2023-12-15,2023-12-22,7,TRADE 019 - 29 Dec 2023 SPX A14,SPX,4040.0,4040.0,,171.76,0.0425,0.0425,,,2023-12-24 17:50:00,
18,2023-12-01,2023-12-07,6,TRADE 018 - 15 Dec 2023 SPX A14,SPX,3743.0,3743.0,,114.8,0.0307,0.0307,,,2023-12-07 21:48:00,
17,2023-11-29,2023-12-06,7,TRADE 017 - 8 Dec 2023 SPX A14,SPX,3653.0,3653.0,,194.8,0.0533,0.0533,,,2023-12-07 21:47:00,
16,2023-11-17,2023-11-27,10,TRADE 016 - 27 Nov 2023 SPX A14,SPX,3668.0,3668.0,,209.6,0.0571,0.0571,,,2023-12-07 21:47:00,
15,2023-11-10,2023-11-17,7,TRADE 015 - 24 Nov 2023 SPX A14,SPX,3000.0,2943.0,,-467.16,-0.1587,-0.1557,,,2023-12-07 21:48:00,
14,2023-11-03,2023-11-08,5,TRADE 014 - 17 Nov 2023 SPX A14,SPX,2857.0,2857.0,,151.76,0.0531,0.0531,,,2023-11-09 11:23:00,
13,2023-10-27,2023-10-31,4,TRADE 013 - 3 Nov 2023 SPX A14,SPX,2200.0,2183.0,,144.8,0.0663,0.0658,,,2023-10-31 18:58:00,
12,2023-10-13,2023-10-24,11,TRADE 012 - 27 Oct 2023 SPX A14,SPX,2392.0,2392.0,,147.64,0.0617,0.0617,,,2023-10-24 12:07:00,
11,2023-10-06,2023-10-17,11,TRADE 011 - 20 Oct 2023 SPX A14,SPX,3262.0,3436.0,,-272.8,-0.0794,-0.0836,,,2023-10-23 16:16:00,
10,2023-09-29,2023-10-05,6,TRADE 010 - 13 Oct 2023 SPX A14,SPX,4139.0,4139.0,,126.76,0.0306,0.0306,,,2023-10-06 10:22:00,
9,2023-09-22,2023-09-28,6,TRADE 009 - 6 Oct 2023 SPX A14,SPX,2887.0,2887.0,,131.76,0.0456,0.0456,,,2023-09-29 06:16:00,
8,2023-09-15,2023-09-20,5,TRADE 008 - 29 Sep 2023 SPX A14,SPX,3676.0,3676.0,,107.84,0.0293,0.0293,,,2023-09-29 06:16:00,
7,2023-09-08,2023-09-12,4,TRADE 007 - 20 Sep 2023 SPX A14,SPX,2872.0,2872.0,,94.8,0.033,0.033,,,2023-09-13 11:59:00,
6,2023-09-05,2023-09-08,3,TRADE 006 - 15 Sep 2023 SPX A14,SPX,4847.0,4847.0,,248.72,0.0513,0.0513,,,2023-09-29 06:16:00,
5,2023-08-28,2023-09-01,4,TRADE 005 - 8 Sep 2023 SPX A14,SPX,3628.0,3628.0,,-283.24,-0.0781,-0.0781,,,2023-09-29 06:17:00,
4,2023-08-18,2023-08-22,4,TRADE 004 - 1 Sep 2023 SPX A14,SPX,3044.0,3044.0,,151.76,0.0499,0.0499,,,2023-08-22 18:16:00,
3,2023-08-11,2023-08-14,3,TRADE 003 - 25 Aug 2023 SPX A14,SPX,3200.0,2677.0,,147.84,0.0552,0.0462,,,2023-08-15 02:22:00,
2,2023-08-04,2023-08-09,5,TRADE 002 - 18 Aug 2023 SPX A14,SPX,2650.0,2892.0,,149.8,0.0518,0.0565,,,2023-08-09 11:35:00,
1,2023-07-30,2023-07-31,1,TRADE 001 - 11 Aug 2023 SPX A14,SPX,2550.0,2550.0,,117.84,0.0462,0.0462,,,2023-08-09 11:34:00,
